Publication number,Family ID,Owner,title,Patenting date,Patent status,Impact score,Google link
US-20130189633-A1,48749628,General Electric Co,Method for removing organic contaminants from boron containing powders by high temperature processing,1/19/2012,Abandoned,0.454019405,https://patents.google.com/patent/US20130189633A1
US-20130191037-A1,47601530,Nanoimaging Services,Characterization of particulates using electron microscopy and image processing methods,7/26/2011,Abandoned,0.713089156,https://patents.google.com/patent/US20130191037A1
US-20130192517-A1,47913496,Anf Technology Ltd,Method and system for alumina nanofibers synthesis from molten aluminum,1/31/2012,Abandoned,0.5828774,https://patents.google.com/patent/US20130192517A1
US-20130195140-A1,48870185,Hewlett Packard Development Co Lp,Temperature sensor,1/31/2012,Abandoned,0.472624329,https://patents.google.com/patent/US20130195140A1
US-20130202813-A1,48903130,National Tsing Hua University Nthu,Process of preparing graphene by low-frequency electromagnetic wave,2/8/2012,Abandoned,0.723620025,https://patents.google.com/patent/US20130202813A1
US-20130202898-A1,48903152,National Tsing Hua University Nthu,Method for fabricating semiconductor nanowire and semiconductor nanostructure,2/3/2012,Abandoned,0.345647283,https://patents.google.com/patent/US20130202898A1
US-20130202909-A1,48903158,Lg Chem Ltd,,2/6/2012,Abandoned,0.666873475,https://patents.google.com/patent/US20130202909A1
US-20130203928-A1,43478165,Bayer Intellectual Property Gmbh,Process for producing polymer-cnt composites,9/7/2010,Abandoned,0.739458271,https://patents.google.com/patent/US20130203928A1
US-20130207070-A1,43414714,Commissariat A Lenergie Atomique Et Aux Energies Alternatives,Nanocomposite material and its use in optoelectronics,6/8/2010,Abandoned,0.435554333,https://patents.google.com/patent/US20130207070A1
US-20130207248-A1,42371396,Thales Sa,"Device including electrical, electronic, electromechanical or electrooptical components having reduced sensitivity at a low dose rate",2/16/2010,Abandoned,0.477466234,https://patents.google.com/patent/US20130207248A1
US-20130207288-A1,48944954,Toshiba Corp,,2/15/2012,Abandoned,0.485155586,https://patents.google.com/patent/US20130207288A1
US-20130207309-A1,44712148,Fujifilm Corp,"Minute convexo-concave pattern forming method and forming device, and transfer substrate producing method and transfer substrate",3/29/2010,Granted,0.425172412,https://patents.google.com/patent/US20130207309A1
US-20130209673-A1,48945766,Huawei Technologies Co Ltd,"Heterojunction nano material, negative pole piece of lithium ion battery, and lithium ion battery",2/9/2012,Granted,0.327287383,https://patents.google.com/patent/US20130209673A1
US-20130209678-A1,43884006,Zhejiang University,Method for preparing a porous anti-reflection thin film composed of hollow polymeric nanoparticles,10/29/2010,Granted,0.784454116,https://patents.google.com/patent/US20130209678A1
US-20130209794-A1,46313020,Oceans King Lighting Science And Technology Co Ltd,Light emission apparatus and  manufacturing method thereof,12/20/2010,Abandoned,0.258044208,https://patents.google.com/patent/US20130209794A1
US-20130209898-A1,48945826,Uchicago Argonne Llc,Mesostructured thin-films as electrocatalysts with tunable compositions and surface morphology,9/30/2011,Abandoned,0.415208771,https://patents.google.com/patent/US20130209898A1
US-20130210610-A1,48946064,Utbattelle Llc,,2/14/2012,Abandoned,0.503156434,https://patents.google.com/patent/US20130210610A1
US-20130214253-A1,46024578,Nec Corp,Manufacturing method of graphene substrate and graphene substrate,11/4/2010,Granted,0.591167403,https://patents.google.com/patent/US20130214253A1
US-20130216954-A1,48982522,Canon Inc,"Drawing apparatus, and method of manufacturing article",2/22/2012,Abandoned,0.387793774,https://patents.google.com/patent/US20130216954A1
US-20130220406-A1,49001535,Sharp Corp,Vertical junction solar cell structure and method,2/27/2012,Abandoned,0.472555108,https://patents.google.com/patent/US20130220406A1
US-20130220530-A1,49001571,Lotte Advanced Materials Co Ltd,Method of transferring graphene,2/24/2012,Granted,0.924323905,https://patents.google.com/patent/US20130220530A1
US-20130221329-A1,49001855,Institute Of Microelectronics Cas,Graphene device,2/29/2012,Abandoned,0.395763913,https://patents.google.com/patent/US20130221329A1
US-20130230769-A1,49043013,Electrochemical Materials,,2/1/2012,Abandoned,0.497159361,https://patents.google.com/patent/US20130230769A1
US-20130230931-A1,49043062,Nsk Ltd,"Target substance detecting apparatus, and target substance detecting method",3/1/2012,Abandoned,0.567024681,https://patents.google.com/patent/US20130230931A1
US-20130233370-A1,46263771,Dongjin Semichem Co Ltd,Dye-sensitized solar cell and method of preparing the same,10/26/2010,Abandoned,0.734459018,https://patents.google.com/patent/US20130233370A1
US-20130233480-A1,46084526,Hanwha Aerospace Co Ltd,,11/19/2010,Granted,0.9518918,https://patents.google.com/patent/US20130233480A1
US-20130234116-A1,49113260,Samsung Electronics Co Ltd,Organic microelectronic device and fabrication method therefor,3/6/2012,Granted,0.38651877,https://patents.google.com/patent/US20130234116A1
US-20130234559-A1,46145420,Nokia Oyj,Piezoelectric resonator,11/25/2010,Abandoned,0.806834369,https://patents.google.com/patent/US20130234559A1
US-20130236632-A1,49114348,Intermolecular Inc,Graphene combinatorial processing,3/9/2012,Abandoned,0.379649643,https://patents.google.com/patent/US20130236632A1
US-20130240128-A1,44563212,Kaneka Corp,Method for producing carbonized film and method for producing graphite film,3/10/2010,Granted,0.560034952,https://patents.google.com/patent/US20130240128A1
US-20130240378-A1,49156637,Samsung Electronics Co Ltd,Nanopore device with improved sensitivity and method of fabricating the same,3/13/2012,Granted,0.571639437,https://patents.google.com/patent/US20130240378A1
US-20130241096-A1,49156909,Canon Inc,"Imprint apparatus, and article manufacturing method",3/19/2012,Granted,0.756457744,https://patents.google.com/patent/US20130241096A1
US-20130242297-A1,45723685,Agency For Science Technology And Research Singapore,Substrate for optical sensing by surface enhanced raman spectroscopy (sers) and methods for forming the same,8/24/2010,Abandoned,0.772860238,https://patents.google.com/patent/US20130242297A1
US-20130243685-A1,49157837,National Tsing Hua University Nthu,Oil extractor and the preparation method thereof,3/15/2012,Granted,0.424633877,https://patents.google.com/patent/US20130243685A1
US-20130243699-A1,49157841,University Of Minnesota,Biodegradable magnetic nanoparticles and related methods,12/7/2011,Abandoned,0.725820835,https://patents.google.com/patent/US20130243699A1
US-20130243965-A1,49157895,Korea Atomic Energy Research Institute Kaeri,Method of preparing graphene from organic material using radiation technique and graphene prepared using the same,3/15/2012,Abandoned,0.906646349,https://patents.google.com/patent/US20130243965A1
US-20130247620-A1,46171808,Ulvac Inc,Silicon refining device and silicon refining method,11/29/2010,Abandoned,0.34979566,https://patents.google.com/patent/US20130247620A1
US-20130247993-A1,49210635,University Of Akron,Enhanced efficiency polymer solar cells using aligned magnetic nanoparticles,3/23/2012,Pending,0.588742855,https://patents.google.com/patent/US20130247993A1
US-20130248380-A1,49210764,Utah State University,,3/26/2012,Abandoned,0.540207131,https://patents.google.com/patent/US20130248380A1
US-20130248772-A1,49210898,Samsung Sdi Co Ltd,Secondary battery,3/26/2012,Abandoned,0.635548985,https://patents.google.com/patent/US20130248772A1
US-20130249598-A1,49211210,California Institute Of Technology ,Microscale digital vacuum electronic gates,3/22/2012,Granted,0.444640839,https://patents.google.com/patent/US20130249598A1
US-20130250282-A1,49211503,Nuflare Technology Inc,Charged particle beam writing apparatus and charged particle beam writing method,3/22/2012,Granted,0.430695388,https://patents.google.com/patent/US20130250282A1
US-20130251906-A1,49212071,Toshiba Corp,,3/21/2012,Abandoned,0.471674453,https://patents.google.com/patent/US20130251906A1
US-20130251999-A1,46382661,Toyo Tanso Co Ltd,"Carbon material, jig, and method of manufacturing carbon material",12/27/2010,Abandoned,0.236383726,https://patents.google.com/patent/US20130251999A1
US-20130252110-A1,49212133,Samsung Sdi Co Ltd,Negative active material and lithium battery containing the same,3/20/2012,Abandoned,0.532422567,https://patents.google.com/patent/US20130252110A1
US-20130252499-A1,46382214,Oceans King Lighting Science And Technology Co Ltd,Graphene derivative-carbon nanotube composite material and preparation methods thereof,12/30/2010,Abandoned,0.862438265,https://patents.google.com/patent/US20130252499A1
US-20130255754-A1,49233243,Cambridge Enterprise Ltd,Photovoltaic device and method of fabricating thereof,3/29/2012,Abandoned,0.459316913,https://patents.google.com/patent/US20130255754A1
US-20130259187-A1,43531596,Rockfuel Innovations Ltd,Carbon dioxide production,12/7/2010,Abandoned,0.565624464,https://patents.google.com/patent/US20130259187A1
US-20130259763-A1,49235315,Honda Motor Co Ltd,Carbon nantube synthesizing apparatus,3/29/2012,Granted,0.398725833,https://patents.google.com/patent/US20130259763A1
US-20130263919-A1,49291351,Samsung Electronics Co Ltd,"Hybrid metal oxide and method of forming the same, and solar cell including the same",4/5/2012,Granted,0.399504728,https://patents.google.com/patent/US20130263919A1
US-20130264193-A1,49291439,Tsinghua University,Method for making strip shaped graphene layer,4/5/2012,Abandoned,0.546551306,https://patents.google.com/patent/US20130264193A1
US-20130264687-A1,49291646,Canon Inc,,4/9/2012,Abandoned,0.490086788,https://patents.google.com/patent/US20130264687A1
US-20130264747-A1,49291673,Utbattelle Llc,Self-assembly patterning of organic molecules on a surface,4/10/2012,Granted,0.364946843,https://patents.google.com/patent/US20130264747A1
US-20130264748-A1,49291674,Tsinghua University,,4/5/2012,Abandoned,0.5013773,https://patents.google.com/patent/US20130264748A1
US-20130266500-A1,44972735,Shin Etsu Chemical Co Ltd,"Silicon oxide material for nonaqueous electrolyte secondary battery negative electrode material, making method, negative electrode, lithium ion secondary battery, and electrochemical capacitor",5/21/2010,Abandoned,0.54708801,https://patents.google.com/patent/US20130266500A1
US-20130266729-A1,49292504,Tsinghua University,Method for making strip shaped graphene layer,4/5/2012,Abandoned,0.485122579,https://patents.google.com/patent/US20130266729A1
US-20130266739-A1,49292509,Academia Sinica,,4/6/2012,Abandoned,0.62594033,https://patents.google.com/patent/US20130266739A1
US-20130266807-A1,46244368,Showa Denko Kk,Method of manufacturing carbon fiber,12/15/2010,Abandoned,0.377219079,https://patents.google.com/patent/US20130266807A1
US-20130267615-A1,48173062,Hylok Corp,Process for production of dimethyl ether at a dme-fpso system for conversion of associated gas in oil fields and stranded gas in stranded gas fields,10/31/2011,Abandoned,0.625354597,https://patents.google.com/patent/US20130267615A1
US-20130267629-A1,46720436,Panasonic Corp,"Mesoporous silica particles, method for producing mesoporous silica particles, and mesoporous silica particle-containing molded article",2/21/2011,Abandoned,0.36206697,https://patents.google.com/patent/US20130267629A1
US-20130273254-A1,49325339,Mortech Corp,Polymide film and method for manufacturing the same,4/13/2012,Abandoned,0.767187768,https://patents.google.com/patent/US20130273254A1
US-20130273257-A1,46383095,Nec Corp,Carbon nanotube ink composition and a coating method thereof and a forming method of a thin film containing carbon nanotubes,12/28/2010,Granted,0.378347422,https://patents.google.com/patent/US20130273257A1
US-20130273260-A1,49325340,National Tsing Hua University Nthu,,4/12/2012,Abandoned,0.952902392,https://patents.google.com/patent/US20130273260A1
US-20130277201-A1,49379102,Korea Institute Of Geoscience And Mineral Resources Kigam,Method for separating and recovering silicon from silicon sludge,4/11/2012,Granted,0.777758526,https://patents.google.com/patent/US20130277201A1
US-20130277619-A1,44626517,Council Of Scientific And Industrial Research Csir,Process for the preparation of high voltage nano composite cathode (4.9vv) for lithium ion batteries,10/20/2010,Granted,0.24765091,https://patents.google.com/patent/US20130277619A1
US-20130280896-A1,45892778,Jnc Corp,,9/30/2010,Abandoned,0.291362006,https://patents.google.com/patent/US20130280896A1
US-20130283691-A1,44454013,Mario Rendulic,Device and method for obtaining the mixture of oxygen and hydrogen by the action of uv radiation on micro-crystals of ice water,12/29/2010,Abandoned,0.261265814,https://patents.google.com/patent/US20130283691A1
US-20130284345-A1,49464097,Tsinghua University,Method for making heater,4/28/2012,Granted,0.587092452,https://patents.google.com/patent/US20130284345A1
US-20130284989-A1,49476493,Evident Technologies Inc,Method for preparing and use of sb2te3 nanocrystals in thermoelectric materials,3/28/2012,Granted,0.723675197,https://patents.google.com/patent/US20130284989A1
US-20130288181-A1,49477603,Canon Inc,"Drawing apparatus, and method of manufacturing article",4/27/2012,Abandoned,0.450728819,https://patents.google.com/patent/US20130288181A1
US-20130288457-A1,49463066,Tsinghua University,,4/25/2012,Granted,0.705688067,https://patents.google.com/patent/US20130288457A1
US-20130289282-A1,45832002,University Of Western Australia,Thin film tube reactor,9/13/2010,Abandoned,0.700802199,https://patents.google.com/patent/US20130289282A1
US-20130292839-A1,46171600,Kyoto University,,12/1/2010,Abandoned,0.354243158,https://patents.google.com/patent/US20130292839A1
US-20130292877-A1,45581982,Fujifilm Corp,,1/19/2011,Abandoned,0.365460765,https://patents.google.com/patent/US20130292877A1
US-20130295002-A1,49512665,Encite Llc,Self-regulating gas generator and method,5/7/2012,Granted,0.614134995,https://patents.google.com/patent/US20130295002A1
US-20130295320-A1,49489990,Tsinghua University,Carbon nanotube structure,5/4/2012,Abandoned,0.684007895,https://patents.google.com/patent/US20130295320A1
US-20130295374-A1,46171925,National Institute For Materials Science,"Graphene sheet film connected with carbon nanotubes, method for producing same, and graphene sheet capacitor using same",12/2/2010,Abandoned,0.9952649,https://patents.google.com/patent/US20130295374A1
US-20130295385-A1,48190393,Wacker Chemie Ag,Granular polycrystalline silicon and production thereof,5/7/2012,Granted,0.363685853,https://patents.google.com/patent/US20130295385A1
US-20130295464-A1,46580612,Idemitsu Kosan Co Ltd,Composite material of alkaline metal sulfide and conducting agent,1/27/2011,Abandoned,0.854215926,https://patents.google.com/patent/US20130295464A1
US-20130298729-A1,49547599,Samsung Electronics Co Ltd,Thermoelectric material and method of preparing the thermoelectric material,5/9/2012,Granted,0.688401318,https://patents.google.com/patent/US20130298729A1
US-20130298822-A1,46580907,Yamaguchi University,"Silicon melt contact member, process for production thereof, and process for production of crystalline silicon",1/26/2011,Abandoned,0.703810673,https://patents.google.com/patent/US20130298822A1
US-20130302528-A1,46515253,Shin Etsu Chemical Co Ltd,Apparatus for producing polycrystalline silicon and method for producing polycrystalline silicon,1/21/2011,Granted,0.600861863,https://patents.google.com/patent/US20130302528A1
US-20130302592-A1,49548837,Korea Advanced Institute Of Science And Technology Kaist,Method for growth of carbon nanoflakes and  carbon nanoflake structure,5/9/2012,Abandoned,0.652751347,https://patents.google.com/patent/US20130302592A1
US-20130303783-A1,44065608,Aet Group,Device and process for continuous phosgenation,9/30/2010,Abandoned,0.652516827,https://patents.google.com/patent/US20130303783A1
US-20130309171-A1,45994829,University Of Washington,Pre-targeted nanoparticle system and method for labeling biological particles,10/29/2010,Abandoned,0.488251347,https://patents.google.com/patent/US20130309171A1
US-20130309485-A1,46580567,Nitto Denko Corp,Heat-conductive film and production method therefor,1/28/2011,Abandoned,0.81543134,https://patents.google.com/patent/US20130309485A1
US-20130309527-A1,49581542,Nokia Oyj,Apparatus and associated methods,5/18/2012,Granted,0.329252332,https://patents.google.com/patent/US20130309527A1
US-20130309565-A1,49581558,Tsinghua University,"Current collector, electrochemical cell electrode and electrochemical cell",5/17/2012,Abandoned,0.710473801,https://patents.google.com/patent/US20130309565A1
US-20130312610-A1,45567033,Tn International Sa,Device for trapping flammable gases produced by radiolysis or thermolysis in a containment,2/11/2011,Granted,0.608859471,https://patents.google.com/patent/US20130312610A1
US-20130319330-A1,46171686,Hoya Corp,Liquid feeding device and resist developing device,12/2/2010,Abandoned,0.460255077,https://patents.google.com/patent/US20130319330A1
US-20130321928-A1,49669949,Tsinghua University,Liquid lens,6/4/2012,Granted,0.414094686,https://patents.google.com/patent/US20130321928A1
US-20130321929-A1,49669950,Tsinghua University,Liquid lens,6/4/2012,Granted,0.379051002,https://patents.google.com/patent/US20130321929A1
US-20130323158-A1,49670509,Purdue Research Foundation,Method of laser direct synthesis of graphene,6/5/2012,Granted,0.549800656,https://patents.google.com/patent/US20130323158A1
US-20130327649-A1,44537643,Commissariat A Lenergie Atomique Et Aux Energies Alternatives,Biosensor and method of manufacturing such a biosensor,2/22/2011,Granted,0.393350468,https://patents.google.com/patent/US20130327649A1
US-20130330523-A1,49715517,University Of California,Graphene nanoribbons and methods of fabrication thereof,6/7/2012,Granted,0.898913346,https://patents.google.com/patent/US20130330523A1
US-20130330661-A1,46930837,Toppan Printing Co Ltd,Method for repairing mask for euv exposure and mask for euv exposure,3/31/2011,Granted,0.614443587,https://patents.google.com/patent/US20130330661A1
US-20130334578-A1,49755086,National Taiwan University,Molecule sensor device,6/14/2012,Abandoned,0.454131996,https://patents.google.com/patent/US20130334578A1
US-20130335883-A1,49755690,Toyo Tanso Co Ltd,"Porous carbon material and method of producing the same, and electric double-layer capacitor using the porous carbon material",6/15/2012,Abandoned,0.529056662,https://patents.google.com/patent/US20130335883A1
US-20130337157-A1,49756151,Commissariat A Lenergie Atomique Et Aux Energies Alternatives,Method for synthesizing metal or metal oxide nanoparticles by liquid phase deposition on the surface of a substrate,6/15/2012,Abandoned,0.413459779,https://patents.google.com/patent/US20130337157A1
US-20130337161-A1,46720834,Asahi Kasei Chemicals Corp,"Coating material containing organic/inorganic composite, organic/inorganic composite film and antireflection member",2/21/2011,Abandoned,0.976439509,https://patents.google.com/patent/US20130337161A1
US-20130337195-A1,49756162,Columbia University Of New York,Method of growing graphene nanocrystalline layers,6/18/2012,Abandoned,0.527077548,https://patents.google.com/patent/US20130337195A1
US-20130337329-A1,46798076,Sumitomo Osaka Cement Co Ltd,Electrode active material and method of producing the same,3/4/2011,Abandoned,0.816295593,https://patents.google.com/patent/US20130337329A1
US-20130341195-A1,46171122,University Of Alberta,Multipodal nanotubes and process for making same,11/29/2010,Abandoned,0.374881445,https://patents.google.com/patent/US20130341195A1
US-20130341823-A1,46830573,Sharp Corp,"Mold, method for producing mold, and method for producing nanoimprint film",3/11/2011,Granted,0.566365302,https://patents.google.com/patent/US20130341823A1
US-20130344232-A1,49774675,Xerox Corp,,6/22/2012,Abandoned,0.547568967,https://patents.google.com/patent/US20130344232A1
US-20130344443-A1,49774727,Canon Inc,,6/26/2012,Abandoned,0.544486865,https://patents.google.com/patent/US20130344443A1
US-20140001380-A1,49777127,Nuflare Technology Inc,"Mask drawing method, mask drawing apparatus",7/2/2012,Granted,0.416418765,https://patents.google.com/patent/US20140001380A1
US-20140001416-A1,43881635,Bayer Intellectual Property Gmbh,Method for producing powdery polymer/carbon nanotube mixtures,12/21/2010,Abandoned,0.669993077,https://patents.google.com/patent/US20140001416A1
US-20140001675-A1,45976482,Fujifilm Corp,Nanoimprinting method and nanoimprinting apparatus for executing the nanoimprinting method,3/9/2011,Abandoned,0.66572729,https://patents.google.com/patent/US20140001675A1
US-20140004032-A1,48442754,Korea Advanced Institute Of Science And Technology Kaist,Method and apparatus for rapid growth of diamond film,7/2/2012,Abandoned,0.567214329,https://patents.google.com/patent/US20140004032A1
US-20140004327-A1,49778454,University Of Kentucky Research Foundation,Few-layer graphene nanoribbon and a method of making the same,6/29/2012,Abandoned,0.326552737,https://patents.google.com/patent/US20140004327A1
US-20140004416-A1,46931429,Tdk Corp,"Active material, method for manufacturing active material, electrode, lithium ion secondary battery, and method for manufacturing lithium ion secondary battery",3/31/2011,Granted,0.507063132,https://patents.google.com/patent/US20140004416A1
US-20140008747-A1,46930567,Sumitomo Chemical Co Ltd,Method of producing organic photoelectric conversion device,3/29/2011,Abandoned,0.867207941,https://patents.google.com/patent/US20140008747A1
US-20140014183-A1,46930219,Idemitsu Kosan Co Ltd,Organic thin-film solar cell and organic thin-film solar cell module,3/31/2011,Abandoned,0.328841751,https://patents.google.com/patent/US20140014183A1
US-20140014905-A1,49913181,Samsung Electronics Co Ltd,Field effect transistor using graphene,7/16/2012,Granted,0.833019843,https://patents.google.com/patent/US20140014905A1
US-20140017158-A1,49914146,Bae Systems Information And Electronic Systems Integration Inc,,7/11/2012,Abandoned,0.509556546,https://patents.google.com/patent/US20140017158A1
US-20140017419-A1,46931405,Mitsubishi Plastics Inc,"Gas barrier laminate film, and method for producing same",3/31/2011,Abandoned,0.499228742,https://patents.google.com/patent/US20140017419A1
US-20140017440-A1,49914209,National Institute Of Advanced Industrial Science And Technology Aist,"Structure of graphene oxide, the method of fabrication of the structure, the method of fabricating field-effect transistor using the structure",7/10/2012,Abandoned,0.680534812,https://patents.google.com/patent/US20140017440A1
US-20140017563-A1,49914243,Tsinghua University,Lithium ion battery electrode,7/13/2012,Granted,0.471827938,https://patents.google.com/patent/US20140017563A1
US-20140017613-A1,49914256,Canon Inc,,7/11/2012,Abandoned,0.52096076,https://patents.google.com/patent/US20140017613A1
US-20140021402-A1,49945779,Shinshu University Nuc,"Method for producing anode active material, and anode active material",7/18/2012,Abandoned,0.328895103,https://patents.google.com/patent/US20140021402A1
US-20140021403-A1,49945780,Samsung Electronics Co Ltd,Carbon nanotube composite and method of manufacturing the same,7/18/2012,Abandoned,0.35362622,https://patents.google.com/patent/US20140021403A1
US-20140021444-A1,49955685,Seoul National University R And Db Foundation,Electronic device and manufacturing method thereof,5/31/2010,Abandoned,0.41867315,https://patents.google.com/patent/US20140021444A1
US-20140023578-A1,49946714,Rec Silicon Inc,,7/17/2012,Abandoned,0.415056882,https://patents.google.com/patent/US20140023578A1
US-20140024217-A1,46148928,Fujifilm Corp,Method for forming resist patterns and method for producing patterend substrates employing the resist patterns,3/29/2011,Abandoned,0.496813406,https://patents.google.com/patent/US20140024217A1
US-20140027710-A1,46172309,University Of Utah Research Foundation Uurf,Quantum dot and nanowire synthesis,12/3/2010,Abandoned,0.286700791,https://patents.google.com/patent/US20140027710A1
US-20140030873-A1,49995290,National Taiwan University Of Science And Technology,Method for fabricating patterned silicon nanowire array and silicon microstructure,7/27/2012,Abandoned,0.601072968,https://patents.google.com/patent/US20140030873A1
US-20140037944-A1,45832194,Cornell University,"Covalent organic framework films, and methods of making and uses of same",9/13/2010,Pending,0.993628241,https://patents.google.com/patent/US20140037944A1
US-20140037963-A1,46931691,Hanwha Aerospace Co Ltd,"Method of manufacturing graphene film, apparatus for manufacturing graphene film, and graphene film manufactured by using apparatus for manufacturing graphene film",4/1/2011,Abandoned,0.959418364,https://patents.google.com/patent/US20140037963A1
US-20140038043-A1,46969103,Furukawa Electric Co Ltd,"Cathode active material, non-aqueous electrolyte secondary battery, and method for producing cathode active material",4/7/2011,Abandoned,0.869107894,https://patents.google.com/patent/US20140038043A1
US-20140041211-A1,50065062,Tsinghua University,Methods for fabricating lithium battery anodes,8/13/2012,Abandoned,0.283589458,https://patents.google.com/patent/US20140041211A1
US-20140041704-A1,50065260,Dimerond Technologies Llc,Apparatus pertaining to the co-generation   conversion of light into electricity,8/10/2012,Granted,0.563443385,https://patents.google.com/patent/US20140041704A1
US-20140042068-A1,46395263,Jikei University,"Magnetic composite particle for decontamination, method for fabricating the same, radioactive substance family decontamination system, and radioactive substance family decontamination method",4/28/2011,Abandoned,0.999999273,https://patents.google.com/patent/US20140042068A1
US-20140042390-A1,50065511,University Of California,Interpenetrating networks of carbon nanostructures and nano-scale electroactive materials,2/16/2011,Abandoned,0.969939592,https://patents.google.com/patent/US20140042390A1
US-20140042407-A1,50065518,Vanderbilt University,Biohybrid photoelectrochemical energy conversion device,8/8/2012,Abandoned,0.439110187,https://patents.google.com/patent/US20140042407A1
US-20140044865-A1,50066349,Technion Research And Development Foundation Ltd,,1/31/2012,Abandoned,0.484143143,https://patents.google.com/patent/US20140044865A1
US-20140044873-A1,50066353,Georgetown University,Single-walled carbon nanotube (swcnt) fabrication by controlled chemical vapor deposition (cvd),8/10/2012,Abandoned,0.382762884,https://patents.google.com/patent/US20140044873A1
US-20140044885-A1,49006226,California Institute Of Technology ,Method and system for graphene formation,2/24/2012,Granted,0.95935919,https://patents.google.com/patent/US20140044885A1
US-20140044890-A1,50066357,National Tsing Hua University Nthu,Method for fabricating magnetic graphene-based nanocomposite,8/10/2012,Abandoned,0.511822191,https://patents.google.com/patent/US20140044890A1
US-20140045297-A1,50066501,National Chiao Tung University,Nanoball solution coating method and applications thereof,8/7/2012,Granted,0.421342658,https://patents.google.com/patent/US20140045297A1
US-20140048420-A1,50099299,National Chiao Tung University,,8/17/2012,Abandoned,0.526915563,https://patents.google.com/patent/US20140048420A1
US-20140048984-A1,47072060,M Technique Co Ltd,Method for producing fine particles,4/26/2011,Granted,0.379453771,https://patents.google.com/patent/US20140048984A1
US-20140049875-A1,50076913,Samsung Electro Mechanics Co Ltd,"Nickel powder for internal electrode, method of producing the same, and multilayer ceramic electronic component including the same",8/16/2012,Abandoned,0.414631465,https://patents.google.com/patent/US20140049875A1
US-20140055686-A1,50147692,Tianjin Funa Yuanchuang Tech Co Ltd,Carbon nanotube touch panel having two carbon nanotube films,8/24/2012,Granted,0.411265202,https://patents.google.com/patent/US20140055686A1
US-20140057097-A1,50148229,National Defense University,"Method for fabricating coiled nano carbon material, coiled nano carbon layered substrate and coiled nano carbon material thereof",8/22/2012,Granted,0.573397533,https://patents.google.com/patent/US20140057097A1
US-20140057178-A1,50148260,Tsinghua University,Anodes of lithium battery,8/22/2012,Abandoned,0.436111813,https://patents.google.com/patent/US20140057178A1
US-20140058077-A1,45999870,Upm Kymmene Oy,Method for fabricating fiber products and composites,2/10/2011,Granted,0.720319702,https://patents.google.com/patent/US20140058077A1
US-20140060726-A1,50185782,Bluestone Global Technology Ltd,Methods for transferring graphene films and the like between substrates,9/5/2012,Abandoned,0.40401701,https://patents.google.com/patent/US20140060726A1
US-20140065051-A1,50187887,Shinano Electric Refining Co Ltd,Method for manufacturing silicon carbide powder,8/31/2012,Abandoned,0.446991368,https://patents.google.com/patent/US20140065051A1
US-20140065056-A2,49212001,Toka Kogyo Corp,"Graphite material for negative electrodes of lithium ion secondary battery, manufacaturing method for said material, and lithium ion secondary battery using same",8/11/2010,Granted,0.454479059,https://patents.google.com/patent/US20140065056A2
US-20140065359-A1,50187967,Jawaharial Nehru Centre For Advanced Scientific Research,Graphene ribbons and methods for their preparation and use,8/30/2012,Abandoned,0.463480629,https://patents.google.com/patent/US20140065359A1
US-20140065834-A1,46930910,Hoya Corp,,3/25/2011,Abandoned,0.392000522,https://patents.google.com/patent/US20140065834A1
US-20140070220-A1,46730744,Boe Technology Group Co Ltd,,2/27/2012,Abandoned,0.599774517,https://patents.google.com/patent/US20140070220A1
US-20140070425-A1,50232463,Toshiba Corp,Semiconductor device and manufacturing method thereof,9/10/2012,Granted,0.657064784,https://patents.google.com/patent/US20140070425A1
US-20140072727-A1,44652141,Ilika Technologies Ltd,Vapour deposition process for the preparation of a chemical compound,7/21/2011,Granted,0.554638636,https://patents.google.com/patent/US20140072727A1
US-20140072778-A1,50233565,Beijing Funate Innovation Technology Co Ltd,Carbon nanotube composite film and method for making the same,9/11/2012,Granted,0.52997558,https://patents.google.com/patent/US20140072778A1
US-20140072801-A1,50233570,Jiahorng Liaw,Peptide nanotube device and manufacturing method thereof,9/12/2012,Abandoned,0.334690392,https://patents.google.com/patent/US20140072801A1
US-20140076710-A1,48290332,Lg Chem Ltd,Trihalosilane refining device,11/11/2011,Granted,0.415864647,https://patents.google.com/patent/US20140076710A1
US-20140079623-A1,47107929,Korea Advanced Institute Of Science And Technology Kaist,Method of forming high-quality graphene using continuous heat treatment chemical vapor deposition,5/3/2011,Abandoned,0.856487416,https://patents.google.com/patent/US20140079623A1
US-20140087184-A1,49454866,Korea Kumho Petrochemical Co Ltd,Catalyst composition for the synthesis of multi-walled carbon nanotubes,9/25/2012,Granted,0.752006861,https://patents.google.com/patent/US20140087184A1
US-20140093778-A1,47296730,Cornell University,"Single crystal mixed metal oxide nanosheet material compositions, methods and applications",6/9/2011,Granted,0.653272788,https://patents.google.com/patent/US20140093778A1
US-20140099539-A1,50432896,Semiconductor Energy Laboratory Co Ltd,,10/5/2012,Abandoned,0.781397131,https://patents.google.com/patent/US20140099539A1
US-20140103253-A1,50654741,Lg Chem Ltd,Method of manufacturing silicon oxide,10/16/2012,Granted,0.48736384,https://patents.google.com/patent/US20140103253A1
US-20140106221-A1,50654740,Lg Chem Ltd,Silicon oxide for anode active material of secondary battery,10/16/2012,Abandoned,0.329582482,https://patents.google.com/patent/US20140106221A1
